stream,policy,requested_accuracy,achieved_accuracy,read_latency_ns,total_ns,stall_ns,demand_misses,prefetch_issued,prefetch_hits,prefetch_wasted,speedup_over_no_prefetch,recovered_fraction
moe,next_page,0.9996,0.999577,20000,10618328000,7079384000,374,884736,884362,374,1.999718,0.599915
moe,accuracy,0.0,0.0,20000,21233664000,17694720000,884736,884728,0,884728,1.0,0.0
moe,accuracy,0.1,0.100347,20000,19458064000,15919120000,795956,884728,88780,795948,1.091253,0.100346
moe,accuracy,0.2,0.200758,20000,17681344000,14142400000,707120,884728,177616,707112,1.200908,0.200756
moe,accuracy,0.3,0.300788,20000,15911344000,12372400000,618620,884728,266116,618612,1.334498,0.300786
moe,accuracy,0.4,0.400825,20000,14141244000,10602300000,530115,884728,354621,530107,1.501541,0.400821
moe,accuracy,0.5,0.500951,20000,12369564000,8830620000,441531,884728,443205,441523,1.716606,0.500946
moe,accuracy,0.6,0.60077,20000,10603304000,7064360000,353218,884728,531518,353210,2.002552,0.600765
moe,accuracy,0.7,0.700583,20000,8837164000,5298220000,264911,884728,619825,264903,2.402769,0.700576
moe,accuracy,0.8,0.800466,20000,7069764000,3530820000,176541,884728,708195,176533,3.003447,0.800459
moe,accuracy,0.9,0.900252,20000,5304104000,1765160000,88258,884728,796478,88250,4.003252,0.900244
moe,accuracy,0.95,0.949974,20000,4424284000,885340000,44267,884728,840469,44259,4.799345,0.949966
moe,accuracy,1.0,1.0,20000,3539104000,160000,8,884728,884728,0,5.999729,0.999991
